field_1,Lat,Long,spp,LocID,endoprev,data_origi,PRISMppt30y,PRISMtmean3
"164",39.2433333330,-86.2166666670,Sphenopholis_nitida,"104",0.3480000000,rudgers2009,1196.1400146000,11.8004169460
"165",39.2450000000,-86.2186111110,Elymus_hystrix,"31",0.0460000000,rudgers2009,1196.1400146000,11.8004169460
"166",39.2450000000,-86.2186111110,Elymus_hystrix,"32",0.0000000000,rudgers2009,1196.1400146000,11.8004169460
"167",39.2450000000,-86.2186111110,Sphenopholis_nitida,"105",0.6500000000,rudgers2009,1196.1400146000,11.8004169460
"168",39.2458333330,-86.2186111110,Brachyelytrum_erectum,"15",0.0000000000,rudgers2009,1196.1400146000,11.8004169460
"169",39.2475000000,-86.2183333330,Elymus_hystrix,"26",0.0000000000,rudgers2009,1196.1400146000,11.8004169460
"170",39.2475000000,-86.2183333330,Festuca_subverticillata,"58",0.9520000000,rudgers2009,1196.1400146000,11.8004169460
"171",39.2483333330,-86.2180555560,Cinna_arundinacea,"20",0.6540000000,rudgers2009,1196.1400146000,11.8004169460
"172",39.2491666670,-86.2172222220,Elymus_riparius,"40",0.0000000000,rudgers2009,1196.1400146000,11.8004169460
"173",39.2494444440,-86.2169444440,Elymus_hystrix,"27",0.0500000000,rudgers2009,1196.1400146000,11.8004169460
"174",39.2494444440,-86.2169444440,Elymus_riparius,"36",0.0250000000,rudgers2009,1196.1400146000,11.8004169460
